instances,tx_hash,avg_latency_ms,num_validators
1,6add6445c0245c7475b51a4e05fcb095be5ce0c7dc321347cdc9f88902d2697f,1710.600000,10
1,c01493b7695c697552f123c62b6a11c334ed4584b5dd6b56658214335ce321db,809.600000,10
1,a9f116e2470813ff978af86bf7bb43224702de716b987d54178393f637205f8c,3069.500000,10
1,4a8503b3d3155814bb6d23811a8c9ff36c754389890d44f6631acaba7d00cb1f,3060.500000,10
1,d4b623ef7e3f07fb91bf24601be6df9aef0366aeaf891fc2e2270ec762a31252,2182.500000,10
1,0275ad850e596c96da205c6f58388cdffa4328765a56d6aeacc58bc032f67152,1755.500000,10
1,0e00cb0fe38cec3fa0db40001a9d551bdcabb3c1fee5a396ca35d6f3c31b07b8,1233.500000,10
1,365081450e710439cdb7be2077dd3da946745585b3217194abe656d8d62114ba,708.500000,10
1,4e557e43647e5960e684db4df3f4dedea327bda4f158bc9c902ec43f236133e9,359.500000,10
1,3363404ceb641bf39cbead321c5b3765e6f442faf3eac8d24774b8e644109f6f,3413.800000,10
1,9a6654b02ef64be2be3325fa6d4f2e577731143edd40380a20cb0e0e6f80de36,2984.800000,10
1,38a2b88021ef86b966f7719bcdd25f5c6bb67b6ab86bc03d5a46db847fb0ece8,2792.800000,10
1,62162f184dd33092d4d07ac94a133d6425cbee67e0011826bb2f9366ce88835d,2492.800000,10
1,2643947c8bb0db3f2ce8b725d30b8741bd7d76cecea14ef5c388757b8710f735,971.800000,10
1,ff4432d5ae8cdeccdd4dd4197f578ed99730ad9e77843c6554008cdff3a2abc5,558.800000,10
1,b5c76612e171e685235910d3460fd7abc2a690787e70af30d6f11a62633ac319,2971.000000,10
1,9897439471eb3fbc45333f908df226a286b24bf149693960f3806f9a07b6561a,2857.100000,10
1,3507f671a6006725d8ad97f8425a6ed86ef77ef05318a6b1955af16f032e2059,2691.100000,10
1,5e41157252fa2d8bcc3ba510ff78d1af224cf2d79cdc1743ecea53c1ab348715,2785.100000,10
1,cd05e976c3f1a2848bbe2523fb329f240d6a995474cfbf282393d6dc0687bf65,2243.100000,10
1,e23e66f12c57d50ecd24e44d31e8c6fca530ec0778d8fd8a512bd31c824be79a,1226.200000,10
1,1a35392eac16f8f1df743ad2838096fe70960a3871c674eb00f2d3f5c945ae20,2840.700000,10
1,b1aee7c8d364fa2998abb9e96f36568ad89d93b21ac44bc16153bda39912fc06,2354.700000,10
1,45ad04d23ad8ded8b257ba4bfae29afaf40410f91e9bdd0caaeeb4b992f06a32,1965.700000,10
1,61ef2b79aab248982eda1aa5c2be520a76e69c6a1d80b154a08fbae3b8d8d92a,1379.700000,10
1,5817f222a634be35ab1306e2a440e128fb9e7837e2d315c628f76789b5a994b5,920.700000,10
1,5db2871d2eb61b84a7beac35d6b4a5867588f0dec007047b4f7927c693f335e7,652.800000,10
1,6bf16ca915efe4314f7711ce1deccef7098d83478fd78d3d3c1d65fbe3da2a77,3123.400000,10
1,b7b1d51fbab2bab1922b99b379f8a0b579873650d9c33139d0c6f94514681f7b,2628.400000,10
1,7d2c400566ba972169d4e8edb9910e9094b266049dce98a52a2017a64b8fa1a7,1571.400000,10
1,1a88b9562ec103db0497a550e5119ead470cce3879a373fed2ea0af737ccb239,597.400000,10
1,48877e6befabe134aee444e1d4638f1624223ff0570250947ff46578b72571d9,3120.800000,10
1,d0b88a66bdc2e90ddef4821bdc27f4a649cd42fbb3bbf9af7f3f5e0231f5e133,2967.800000,10
1,7f30727b9b1afee31e46553d0a902d414b6e97318bae3d77237ae822488ce4f8,2799.800000,10
1,27334e006a8ee765763c847865843bd336a8d866207190c0081a481475b41e37,2086.800000,10
1,a66c45be2807bf29e957f5dd2e862a67d62f9bd3a0291650725e69c453564b0c,982.800000,10
1,af1601477eb4012fef0c9d5ff674c5fe6feb23340774f53bcce158824489c3cc,782.800000,10
1,a14337d160cfa66ceeb87ba9983b2041e0b7ca69c95a80f69942410204206c9c,387.800000,10
1,0d6709cd6621fa3bc8bad0d5c414c6ee9ac00781e2f59b4c13d6a77181eba9c9,3158.100000,10
1,9eec3ea12191626124278a258fb3a1e4c2d296a51acf417229883d02c1be0c2c,2939.100000,10
1,ed42fbd6ded828679208d445b961c0c4577598b3750cac46ba0e6ba460a9e4bf,2448.200000,10
1,1809263b3354a2d6e1bebcdd2c8a86070a7ec4a686723f1cd7885cc2fca11302,1629.200000,10
1,4bd0bf535d6077e0cb396c9bb933bca195ce2ebfef473c021e636a031ee03f8e,1444.200000,10
1,82533f246d3d9000efc1c67ae35006b2ef5b9f428c5c54da37890319f173780f,1120.200000,10
1,b1cb1c9196e676da0ed4c698a43e53beea3069c8c19b51176158d2dca7ca1058,755.200000,10
1,8f2c55935f362e8fc23c59b81c4bbb12f77ec77f48aeb4d051a528fb204496f1,402.200000,10
1,c90732a4931e651fd46275bfbf81170bb53dd0d44d4cad43eeaf5e31652a65a3,2652.600000,10
1,e0332244e5559e49e666601147476450e8cc9d95b4d26a48da57481cd9f16b67,2207.600000,10
1,f57819fdbc8afa79719f012545ba2e583980c3df4f86b1fb186a12e972809d1a,1774.600000,10
1,5427f19ba106fbafc49db56b8dc04a4d5d5e4532f7570e09e90e4c92267f4ec8,997.600000,10
1,74dd5077555395845ef5931701a9b2ab87aad5f90a4272a5d629e174623f22fc,740.600000,10
1,f03bb5ff51caa44f2249660a94f493863171f1f3b32b03faf7cf3ae9a4c89d7c,3365.900000,10
1,d031baa52062c41f6fef690fc1e0690c806bf1c02ac5c5260ec0d5661fb49573,3153.900000,10
1,14e7fdbfd84aa442a181917e80c8dbf3fd5d98bd7b1d4887f7157cbb52b01464,3006.900000,10
1,60c2b70a4284cc1912f760b57f7409a3cf04ae360ac9fbc6051e801dd1abb089,1859.900000,10
1,28a41aea00709122b2c1f914abca02b2bdf44a016accc836d2c035aa9ae9bae4,1767.900000,10
1,a95cc5aa48ada1cfd58f2ade2c56ed9a9d1e361ab146e410d79409ffbb58e83d,994.900000,10
1,d49baeb133759ed2ddc7dcd5c094c6124ac1e56ca2b403c3f3686d30bc63c405,2916.700000,10
1,84c012a95899c953d7617fa22bb4e69731f30d918445ff6673b00eff74dc9708,2045.800000,10
1,4a7dd5297e76eec002c4f47f916121e69f76eca4b4d3050fb2d2e59649057d3f,1436.800000,10
1,4f40a724184737326f9cf8f91cdbca9208decaa81bd564bfd8e19dc508a89eec,1380.800000,10
1,0c721c6b2f0b4e01dd62f57e5c8c465fcbc8b07ce79e2d379a9ca7a866504505,1205.800000,10
1,eaa3674b6d84c390e597dff24b502892cfcd4694401e26cc24826db2b3b6731d,740.800000,10
1,6249dc13c91108ac5b32e0b0f5b8212565b5f11ad7b99293edbf4216da12e74c,621.900000,10
1,d343981b38cbb455d2edddc94dacd711cf8fa948ac6a091292fc349fef84551f,3236.400000,10
1,b8306b773d387d265fa8de8eff2c72efaa2421b1183c243c79101acf245a84d8,2620.400000,10
1,9dcb7d8ff767d0312db969aa943842df8913770d95fded1cea09274fec1629a0,2585.400000,10
1,c6c9e618b5bd051b22cada6cc288fa73bb9ca18efa7edde6e64a3a14b770408a,2214.400000,10
1,4329bf06ed6d02f78270dc06a0b8e21b7a8007c5a3fa9b9501c6654280b1c961,1316.400000,10
1,6a16701529fcc07f6779783d7ad093d1df5ec913ec8b24f3b51af4eca957d1d4,3108.100000,10
1,470cf6eb8787a2e608d34db261392ed58172f26ab90e5c7b92f8628ad8790c41,2282.100000,10
